GUID,GEOGID,GEOGDESC,T15_2_Y,T15_2_N,T15_2_NS,T15_2_T,T15_3_B,T15_3_OTH,T15_3_N,T15_3_NS,T15_3_T,Proportion of PC,Proportion of BroadBand
EB9428B8-B443-407E-977B-9393FD73E1D0,CTY31_CC,Cork City,30466,16572,2332,49370,34240,2709,10278,2143,49370,61.71,69.35
84B85B58-010E-45DB-BC55-E137BBE627E4,CTY31_CE,Clare,29214,12886,1248,43348,27941,4701,9524,1182,43348,67.39,64.46
8A998E65-D3BE-4620-98DE-EBF44DE0285B,CTY31_CK,Cork County,103617,38632,3803,146052,103761,12597,26278,3416,146052,70.95,71.04
F1CE5AB6-2A36-4E32-B04A-E79CCD016BCE,CTY31_CN,Cavan,17286,8761,759,26806,17061,2698,6318,729,26806,64.49,63.65
D3A82C01-E07A-4554-8FE4-355EBB161F5A,CTY31_CW,Carlow,13242,6529,694,20465,13539,1852,4432,642,20465,64.71,66.16
EC7DF314-E9AD-4B31-B76C-E3CE8796A87C,CTY31_DC,Dublin City,139140,59425,13026,211591,157005,9025,33796,11765,211591,65.76,74.2
BCD3C654-AD8A-411B-BCD7-D2C210A9AB28,CTY31_DL,Donegal,35541,20874,1890,58305,36127,5873,14561,1744,58305,60.96,61.96
8CD118DF-9362-4D15-8028-16CB016E942C,CTY31_DR,Dún Laoghaire-Rathdown,63526,12984,2058,78568,67575,2187,7041,1765,78568,80.85,86.01
DA8A143E-499D-4407-AE87-36E6C9F68EF9,CTY31_FL,Fingal,75038,17746,3823,96607,82095,3448,7655,3409,96607,77.67,84.98
FA241879-9706-4005-BFD7-FBF80C56C6EE,CTY31_GC,Galway City,20112,7280,1435,28827,22367,1553,3621,1286,28827,69.77,77.59
9B0F930F-0337-4FCA-B95F-2500BC016DF8,CTY31_GY,Galway County,42451,18574,1704,62729,39396,7564,14157,1612,62729,67.67,62.8
F681A4DB-9F68-4E3A-98F1-754DA7A3F4BD,CTY31_KE,Kildare,54149,17174,2025,73348,57086,4854,9700,1708,73348,73.82,77.83
5F2BE378-1CF3-4332-A1D0-21EBAD4D24EF,CTY31_KK,Kilkenny,23428,10512,803,34743,22739,3800,7512,692,34743,67.43,65.45
6F00ECFF-F079-40A7-97B7-B8391AFCF856,CTY31_KY,Kerry,35230,17517,1541,54288,33363,5742,13684,1499,54288,64.89,61.46
89D0FD4F-B387-461B-A8F0-0FCF37A9340E,CTY31_LD,Longford,9427,5203,462,15092,8887,1798,3952,455,15092,62.46,58.89
0F2662EE-A38D-4001-AEAA-209C2058B3F8,CTY31_LH,Louth,29671,13997,1695,45363,32095,2972,8803,1493,45363,65.41,70.75
BA1DDA73-2749-4473-A847-2BAAD5038176,CTY31_LK,Limerick City and County,46013,22587,2422,71022,46590,6263,15897,2272,71022,64.79,65.6
76CF8F82-CD46-41F7-A5AD-400A08468D2B,CTY31_LM,Leitrim,7972,4104,328,12404,7192,1482,3402,328,12404,64.27,57.98
76A974D4-60F2-4167-AB8E-6ADEFC878A57,CTY31_LS,Laois,18934,9133,930,28997,18960,3209,5977,851,28997,65.3,65.39
7D3D6EF0-2287-488A-BD33-A9883D8F3AC4,CTY31_MH,Meath,46164,15969,1728,63861,46851,5495,10022,1493,63861,72.29,73.36
78AE611D-F9DA-4EC9-8ECE-846BFFFCA22D,CTY31_MN,Monaghan,13813,7202,597,21612,13619,2096,5346,551,21612,63.91,63.02
0CE50849-C9F9-4C13-A0CF-6F98CD58B40F,CTY31_MO,Mayo,31480,16044,1221,48745,29774,5442,12407,1122,48745,64.58,61.08
085B854E-1C5E-440B-929F-6E375069859E,CTY31_OY,Offaly,17059,9314,811,27184,16412,3319,6708,745,27184,62.75,60.37
2D3544E6-A828-4BF7-A4B5-F3C3F3A1B11B,CTY31_RN,Roscommon,15414,7987,561,23962,14329,2766,6354,513,23962,64.33,59.8
6C7D5F02-1D93-42BF-9B2E-91CE53906E32,CTY31_SD,South Dublin,67411,21655,3327,92393,76950,2882,9817,2744,92393,72.96,83.29
15F5BE96-328E-4F88-A697-4ABA7341FD94,CTY31_SO,Sligo,16344,7703,714,24761,16267,2256,5566,672,24761,66.01,65.7
F67663AB-74A6-4B8B-A2EA-C0B76AEB132B,CTY31_TY,Tipperary,37333,20152,1586,59071,35813,6881,14912,1465,59071,63.2,60.63
8256B4AB-2EBB-46EA-BCFD-E9B5DA4BFD23,CTY31_WD,Waterford City and County,29066,12880,1509,43455,29801,3616,8595,1443,43455,66.89,68.58
C26AC177-3D04-4F56-BC31-DC712289C410,CTY31_WH,Westmeath,20863,9855,967,31685,20514,3458,6832,881,31685,65.85,64.74
9E71A548-10AA-4EC4-951D-05CA74EA7337,CTY31_WW,Wicklow,35890,11846,1269,49005,36917,3402,7569,1117,49005,73.24,75.33
32E5833E-7F3A-41B8-9E25-6B1C0F021EEC,CTY31_WX,Wexford,35309,17390,1307,54006,34801,5736,12266,1203,54006,65.38,64.44
