GUID,GEOGID,GEOGDESC,T15_2_Y,T15_2_N,T15_2_NS,T15_2_T,T15_3_B,T15_3_OTH,T15_3_N,T15_3_NS,T15_3_T,Proportion for PC,Proportion for BroadBand
2AE19629185813A3E055000000000001,ED3409_01001,Carlow Urban,"1,165",700,140,"2,005","1,255",125,500,125,"2,005",58.105,62.594
2AE196291A5913A3E055000000000001,ED3409_01002,Graigue Urban,314,230,65,609,355,26,160,68,609,51.56,58.292
2AE19629186413A3E055000000000001,ED3409_01003,Clonmore,111,67,6,184,78,35,66,5,184,60.326,42.391
2AE19629187F13A3E055000000000001,ED3409_01004,Hacketstown,225,162,8,395,199,65,124,7,395,56.962,50.38
2AE19629188713A3E055000000000001,ED3409_01005,Haroldstown,61,37,2,100,53,14,31,2,100,61,53
2AE19629189713A3E055000000000001,ED3409_01006,Kineagh,82,35,3,120,75,15,27,3,120,68.333,62.5
2AE1962918B813A3E055000000000001,ED3409_01007,Rahill,179,72,2,253,186,21,44,2,253,70.751,73.518
2AE1962918C413A3E055000000000001,ED3409_01008,Rathvilly,186,123,2,311,218,9,81,3,311,59.807,70.096
2AE19629182213A3E055000000000001,ED3409_01009,Tiknock,74,37,0,111,64,16,30,1,111,66.667,57.658
2AE196291A5813A3E055000000000001,ED3409_01010,Williamstown,70,28,3,101,61,15,22,3,101,69.307,60.396
2AE19629183613A3E055000000000001,ED3409_01011,Agha,97,27,4,128,83,20,23,2,128,75.781,64.844
2AE19629183713A3E055000000000001,ED3409_01012,Ballinacarrig,274,71,10,355,260,36,54,5,355,77.183,73.239
2AE19629184013A3E055000000000001,ED3409_01013,Ballintemple,129,62,6,197,127,18,48,4,197,65.482,64.467
2AE19629184113A3E055000000000001,ED3409_01014,Ballon,158,66,12,236,163,15,46,12,236,66.949,69.068
2AE19629184213A3E055000000000001,ED3409_01015,Ballyellin,94,52,2,148,99,10,36,3,148,63.514,66.892
2AE19629184313A3E055000000000001,ED3409_01016,Ballymoon,84,32,2,118,69,19,27,3,118,71.186,58.475
2AE19629184E13A3E055000000000001,ED3409_01017,Borris,237,111,10,358,241,28,82,7,358,66.201,67.318
